,SKU,NOMBRE,PRECIOLISTA,PRECIO,CATEGORIA ID,DESCRIPCION,URL,STOCK
0,23468,QUESO TYBO PROCESADO SPALEN X 250 Gr,232.9,232.9,577,QUESO TYBO PROCESADO SPALEN X 250 Gr,https://www.hiperlibertad.com.ar/queso-tybo-procesado-spalen-x-250-gr/p,67
1,23448,QUESO CREMOSO TREGARX500GR,535.9,535.9,576,QUESO CREMOSO TREGARX500GR,https://www.hiperlibertad.com.ar/queso-cremoso-tregarx500gr/p,22
2,9899,Queso Crema Ligth La Paulina 290Gr,281.88,281.88,584,Queso Crema Ligth La Paulina 290Gr,https://www.hiperlibertad.com.ar/queso-crema-ligth-la-paulina-290gr/p,85
3,17759,QUESO RALLADO LA SERENÍSIMA BOLSA 70 GRS,487.0,487.0,578,QUESO RALLADO LA SERENÍSIMA BOLSA 70 GRS,https://www.hiperlibertad.com.ar/queso-rallado-la-serenisima-bolsa-70-grs/p,35
4,17617,QUESO CREMOSO LA PAULINA X 500 G,665.9,665.9,576,QUESO CREMOSO LA PAULINA X 500 G,https://www.hiperlibertad.com.ar/queso-cremoso-la-paulina-x-500-g/p,1147
5,20591,QUESO CREMATTO LIGHT MK 450GR,558.99,558.99,584,QUESO CREMATTO LIGHT MK 450GR,https://www.hiperlibertad.com.ar/queso-crematto-light-mk-450gr/p,27
6,13124,Ricotta Garcia Entera Baja en Sodio Sachet 500 g,297.24,297.24,576,Ricotta Garcia Entera Baja en Sodio Sachet 500 g,https://www.hiperlibertad.com.ar/ricotta-garcia-entera-baja-en-sodio-sachet-500-g/p,25
7,9827,Queso Crema Tradicional La Paulina 290Gr,297.0,297.0,584,Queso Crema Tradicional La Paulina 290Gr,https://www.hiperlibertad.com.ar/queso-crema-tradicional-la-paulina-290gr/p,73
8,13064,Rallado La Quesera X 100 Grs,291.0,291.0,578,Rallado La Quesera X 100 Grs,https://www.hiperlibertad.com.ar/rallado-la-quesera-x-100-grs/p,34
9,39323,QUESO CREMA LA SERENISIMA CASANCREM LIGHT X 290 Gr,560.3,560.3,584,QUESO CREMA LA SERENISIMA CASANCREM LIGHT X 290 Gr,https://www.hiperlibertad.com.ar/queso-crema-la-serenisima-casancrem-light-x-290-gr/p,50
10,39332,QUESO CREMA LA SERENISIMA CASANCREM CLASICO X 290 Gr,560.3,560.3,584,QUESO CREMA LA SERENISIMA CASANCREM CLASICO X 290 Gr,https://www.hiperlibertad.com.ar/queso-crema-la-serenisima-casancrem-clasico-x-290-gr/p,59
11,39343,QUESO CREMA LA SERENISIMA CASANCREM LIGHT X 480 Gr,857.9,857.9,584,QUESO CREMA LA SERENISIMA CASANCREM LIGHT X 480 Gr,https://www.hiperlibertad.com.ar/queso-crema-la-serenisima-casancrem-light-x-480-gr/p,58
12,39342,QUESO CREMA LA SERENISIMA CASANCREM CLASICO X 480 Gr,857.9,857.9,584,QUESO CREMA LA SERENISIMA CASANCREM CLASICO X 480 Gr,https://www.hiperlibertad.com.ar/queso-crema-la-serenisima-casancrem-clasico-x-480-gr/p,50
13,33828,YSS BAT KIDS 120 GR NAT8,128.1,128.1,576,YSS BAT KIDS 120 GR NAT8,https://www.hiperlibertad.com.ar/yss-bat-kids-120-gr-nat/p,4
14,36110,BEBIDA VEGETAL SILK COCO SIN AZUCAR X 1 L,630.2,630.2,576,BEBIDA VEGETAL SILK COCO SIN AZUCAR X 1 L,https://www.hiperlibertad.com.ar/bebida-vegetal-silk-coco-sin-azucar-x-1-l/p,71
15,29567,QUESO UNTABLE LA LACTEO FONTINA X 200 Gr,267.0,267.0,584,QUESO UNTABLE LA LACTEO FONTINA X 200 Gr,https://www.hiperlibertad.com.ar/queso-untable-la-lacteo-fontina-x-200-gr/p,8
16,23470,QUESO TYBO SEMIGRASO ARROYO CABRAL X 250 Gr,433.9,433.9,577,QUESO TYBO SEMIGRASO ARROYO CABRAL X 250 Gr,https://www.hiperlibertad.com.ar/queso-tybo-semigraso-arroyo-cabral-x-250-gr/p,35
17,23467,QUESO TYBO LA PAULINA X 250 Gr,427.9,427.9,577,QUESO TYBO LA PAULINA X 250 Gr,https://www.hiperlibertad.com.ar/queso-tybo-la-paulina-x-250-gr/p,151
18,23466,QUESO TYBO MANFREY X 250 Gr,455.9,455.9,577,QUESO TYBO MANFREY X 250 Gr,https://www.hiperlibertad.com.ar/queso-tybo-manfrey-x-250-gr/p,104
19,23464,QUESO TYBO ILOLAY X250,383.9,383.9,577,QUESO TYBO ILOLAY X250,https://www.hiperlibertad.com.ar/queso-tybo-ilolay-x250/p,37
20,23463,QUESO STA ROSA REGIANITO X250GR,972.9,972.9,578,QUESO STA ROSA REGIANITO X250GR,https://www.hiperlibertad.com.ar/queso-sta-rosa-regianito-x250gr/p,112
21,23462,QUESO SARDO STA ROSA X250GR,988.9,988.9,578,QUESO SARDO STA ROSA X250GR,https://www.hiperlibertad.com.ar/queso-sardo-sta-rosa-x250gr/p,8
22,23526,QUESO SARDO LA PAULINA X 250 Gr,629.99,629.99,578,QUESO SARDO LA PAULINA X 250 Gr,https://www.hiperlibertad.com.ar/queso-sardo-la-paulina-x-250-gr/p,30
23,23525,QUESO SARDO JC X 250GR,624.9,624.9,578,QUESO SARDO JC X 250GR,https://www.hiperlibertad.com.ar/queso-sardo-jc-x-250gr/p,94
24,23524,QUESO REGIANITO.LA PAULINA X250GR,759.9,759.9,578,QUESO REGIANITO.LA PAULINA X250GR,https://www.hiperlibertad.com.ar/queso-regianito-la-paulina-x250gr/p,103
25,23459,QUESO PSALUT TREGAR TROZ X 500GR,664.9,664.9,576,QUESO PSALUT TREGAR TROZ X 500GR,https://www.hiperlibertad.com.ar/queso-psalut-tregar-troz-x-500gr/p,1
