sku,producto,categoria,precio,precio_lista,stock,url,descripcion
31074,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr,341,225.0,225.0,1030,https://www.hiperlibertad.com.ar/galletas-oreo-original-veggie-x-118-gr/p,GALLETAS OREO ORIGINAL VEGGIE X 118 Gr
30078,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U,516,356.0,356.0,6363,https://www.hiperlibertad.com.ar/papel-higienico-higienol-export-hoja-simple-30-mts-x-4-u/p,PAPEL HIGIENICO HIGIENOL EXPORT HOJA SIMPLE 30 Mts x 4 U
17611,SUPREMA DE POLLO FRESCA X 1 KG,590,799.2,999.0,232,https://www.hiperlibertad.com.ar/suprema-de-pollo-fresca-x-1-kg/p,SUPREMA DE POLLO FRESCA X 1 KG
5930,Azucar Azucel 1 Kilo,337,232.99,232.99,9146,https://www.hiperlibertad.com.ar/azucar-azucel-1-kilo/p,Azucar Azucel 1 Kilo
3184,Pure De Tomate Marolio 520 Gr,335,130.0,130.0,30,https://www.hiperlibertad.com.ar/pure-de-tomate-marolio-520-gr/p,Pure De Tomate Marolio 520 Gr
35777,KETCHUP HELLMANNS X 250 Gr,321,280.99,280.99,97,https://www.hiperlibertad.com.ar/ketchup-hellmanns-x-250-gr/p,KETCHUP HELLMANNS X 250 Gr
37186,LOMO DE ATUN AL NATURAL LA CAMPAGNOLA X 170 Gr,334,569.0,569.0,837,https://www.hiperlibertad.com.ar/lomo-de-atun-al-natural-la-campagnola-x-170-gr/p,LOMO DE ATUN AL NATURAL LA CAMPAGNOLA X 170 Gr
27614,PH.HIGIENOL.PETALOS DHX4UX30M,516,488.0,488.0,3634,https://www.hiperlibertad.com.ar/ph-higienol-petalos-dhx4ux30m/p,PH.HIGIENOL.PETALOS DHX4UX30M
27025,ARROZ MARÍA LARGO FINO X 1KG,519,203.99,203.99,1076,https://www.hiperlibertad.com.ar/arroz-mar-a-largo-fino-x-1kg/p,ARROZ MARÍA LARGO FINO X 1KG
24199,COMBO FERNET BRANCA X 750 ML + COCA COLA REGULAR X 2.5 LTS,22,2010.0,2010.0,2318,https://www.hiperlibertad.com.ar/combo-fernet-branca-x750ml-cocacola-regular-x2-5lts/p,COMBO FERNET BRANCA X 750 ML + COCA COLA REGULAR X 2.5 LTS
